Ex,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96
390,0.162982155,0.121740896,0.034934256,0.207084794,0.203221221,0.23523486,0.06224734,0.249570284,0.216930378,0.152046207,0.233839814,0.248766545,0.200421218,0.222693343,0.287536327,0.191505421,0.195031438,0.286531959,0.292029116,0.189898793,0.27823836,0.277082566,0.341428164,0.223877434,0.258870222,0.436457999,0.285705127,0.223178782,0.288791306,0.326190867,0.266553141,0.392251857,0.422585227,0.379680164,0.374167956,0.322449841,0.310915388,0.41411788,0.415749379,0.384539939,0.226295508,0.267176755,0.401621975,0.581145652,0.397207208,0.492068656,0.332713373,0.333098121,0.481542235,0.681308156,0.519707507,0.35566113,0.392586714,0.467822021,0.517211324,0.415437495,0.427058702,0.30652762,0.342907315,0.364799744,0.399901962,0.57724536,0.441702699,0.512643522,0.437244093,0.40377084,0.449572122,0.547998732,0.447433716,0.397538995,0.407616919,0.396867013,0.308949322,0.371543556,0.230582505,0.230452567,0.294528186,0.294033855,0.274554044,0.40029943,0.417389005,0.122303039,0.375589341,0.20435369,0.343021363,0.288041592,0.343180031,0.2160559,0.23579368,0.192647696,0.3469688,0.239944309,0.359574318,0.383482605,0.333525032,0.353818625
391.0599976,0.130747087,0.048031367,0.009254716,0.098087348,0.036633067,0.052846797,0.150363006,0.093254842,0.224668063,-0.035064764,0.074482106,0.141421862,0.118875228,0.203939416,0.13814313,0.079696022,0.106579877,0.125731476,0.165641285,0.209286042,0.177578844,0.191045918,0.261127748,0.074628942,0.36368043,0.207069971,0.328399964,0.186912008,0.163202979,0.328620858,0.307036169,0.378664412,0.309851564,0.311797656,0.220429786,0.261861689,0.356317021,0.402933843,0.281509615,0.355728187,0.224797256,0.223812975,0.357403941,0.394376703,0.45424182,0.449392207,0.349039115,0.291662015,0.393576612,0.437126179,0.438643117,0.466080208,0.294938196,0.422810246,0.400447358,0.409715434,0.245095898,0.454833587,0.444147696,0.249877383,0.427905609,0.445863505,0.435902287,0.303104271,0.431850691,0.409594287,0.479581793,0.347387363,0.610986103,0.532748808,0.388285507,0.325610747,0.36565676,0.340466943,0.276467588,0.323097166,0.257903781,0.372796562,0.22174352,0.501006242,0.350639429,0.178378623,0.28333291,0.160115849,0.47764736,0.352417108,0.42873117,0.35627922,0.218284424,0.351026114,0.339719977,0.22378489,0.408483174,0.395423677,0.40296277,0.275443252
391.9599915,0.074537296,0.220119078,0.292836312,0.133138236,0.021979675,0.10582244,0.166778628,0.138998125,0.159823526,0.164889444,0.290226225,0.155813131,0.286505852,0.234659109,0.31795213,0.354523871,0.355629627,0.246361587,0.245804239,0.315833542,0.188063238,0.194984887,0.406669561,0.251324061,0.405723805,0.464960987,0.440436119,0.281744922,0.265968615,0.274198497,0.310068691,0.540530229,0.301397288,0.360050136,0.305710996,0.260898257,0.455174739,0.405672843,0.412929976,0.398085559,0.360123331,0.305790538,0.51821431,0.328862811,0.528160298,0.615511024,0.305718685,0.485059405,0.542762686,0.496906001,0.583964635,0.4975936,0.34244566,0.451015908,0.420729507,0.556270111,0.404801477,0.373902101,0.388730843,0.320081491,0.430649955,0.533454586,0.447990913,0.44541036,0.51945718,0.427079458,0.355901916,0.36970057,0.398008186,0.514723409,0.38819747,0.444511492,0.23215092,0.347094841,0.301091827,0.225296266,0.232356109,0.200823314,0.291172184,0.380406655,0.36541567,0.269407816,0.344287194,0.157043137,0.354843475,0.319265105,0.353299655,0.178706832,0.296927251,0.155231811,0.27168218,0.264357485,0.403801389,0.279775478,0.231105573,0.367451854
393.0299988,0.059782065,0.122653238,0.167261176,-0.055440132,0.093794681,0.122842856,0.137619875,0.136430986,0.110543944,0.014288396,0.176756822,0.129836373,0.198209904,0.076851927,0.251691185,0.253040753,0.148246728,0.166167162,0.201631241,0.246144734,0.164692245,0.071091019,0.300248824,0.191947781,0.343311109,0.49582199,0.471976198,0.297362305,0.210375957,0.275781013,0.311385907,0.331081755,0.42319686,0.265710749,0.348595239,0.295441099,0.509384014,0.551336326,0.340287842,0.295292743,0.335802533,0.280737795,0.372942664,0.574503519,0.439012773,0.438179888,0.300368555,0.464006998,0.420721363,0.497705441,0.386593442,0.360240679,0.395082396,0.461280238,0.42953543,0.354348253,0.353833061,0.293740164,0.312415611,0.186136182,0.516487401,0.484870296,0.521004479,0.373082083,0.402682107,0.3537939,0.34251396,0.517579716,0.576973539,0.370460194,0.375561755,0.582086485,0.36693129,0.369343729,0.30795774,0.307889552,0.350457669,0.348765344,0.527983249,0.48665163,0.611917854,0.195751012,0.334526123,0.310717137,0.344767482,0.263323993,0.511240483,0.334410311,0.298385919,0.316506268,0.384785802,0.275424928,0.39449063,0.383846254,0.26931125,0.257132203
393.9299927,0.146863673,0.196985204,0.145809371,0.079834107,0.134052832,0.104871769,0.183678675,0.177614722,0.109578434,0.07828499,0.220524777,0.120841864,0.250500504,0.299987171,0.250938747,0.27472559,0.193342853,0.279759381,0.250452314,0.212296296,0.291821543,0.176633153,0.451588962,0.311523173,0.390293797,0.489424845,0.44990926,0.478964111,0.253777524,0.372240385,0.452998569,0.49756079,0.445565334,0.325266412,0.432676038,0.389449468,0.622323921,0.509165397,0.434676638,0.507174334,0.494571408,0.371349504,0.590367248,0.458468487,0.467789551,0.515024504,0.54115974,0.321032425,0.431157947,0.469540805,0.411158442,0.484428942,0.391219854,0.425468743,0.370762855,0.430506617,0.209424868,0.338484228,0.331794411,0.234253168,0.477235049,0.42405355,0.469758391,0.291086197,0.273376018,0.449381739,0.462234378,0.39460516,0.563118339,0.410930067,0.421344906,0.346632987,0.289901458,0.383940332,0.386691175,0.239045851,0.363218777,0.382326238,0.370882206,0.24221655,0.358597539,0.290025167,0.35461887,0.190659188,0.397806101,0.230053119,0.288243584,0.27428665,0.207726441,0.24522873,0.351955764,0.271932475,0.422142737,0.375585906,0.399500243,0.236285768
395,0.140774205,0.132108912,0.135082915,0.09650816,0.137657151,0.157447353,0.112309575,0.16693826,0.177871302,0.055926055,0.073508278,0.102634296,0.257079199,0.183103815,0.205516323,0.212805673,0.316904321,0.206778064,0.113151103,0.229250684,0.266247198,0.115917578,0.24279286,0.263153508,0.328966896,0.339347462,0.498418014,0.305636535,0.330475996,0.322141628,0.393396626,0.453659217,0.385234247,0.301112662,0.341246258,0.353590499,0.466232519,0.45931984,0.355659108,0.451924871,0.311853777,0.346879075,0.464328359,0.47103406,0.509635489,0.397537868,0.356095443,0.320046316,0.510694865,0.432140682,0.467426036,0.351391647,0.301699493,0.485750142,0.488301847,0.530919496,0.324586395,0.36340994,0.40183771,0.213622797,0.439659838,0.332243983,0.428740326,0.429267827,0.521904174,0.457998548,0.377736155,0.375106249,0.509299222,0.497374479,0.370179657,0.337743197,0.317693576,0.326138899,0.225044891,0.108295083,0.192717448,0.215045437,0.180018887,0.387792632,0.474341556,0.250602528,0.26957579,0.323997244,0.231688455,0.240208462,0.286130264,0.145934865,0.265448287,0.196333244,0.229631588,0.161886528,0.291949257,0.199294552,0.215211704,0.22236155
396.0599976,0.069497991,0.158257853,0.201836642,0.07902183,0.170560118,0.121500503,0.186020564,0.233088758,0.147626083,0.145144116,0.138908889,0.188788634,0.347906735,0.270545747,0.274225768,0.251265641,0.201970067,0.271233704,0.286528017,0.228055265,0.321530458,0.272345211,0.288259979,0.229380947,0.459868874,0.392253693,0.387501385,0.3615424,0.335646715,0.319409098,0.410459306,0.434034463,0.317562398,0.321252998,0.283193912,0.252889212,0.3720369,0.489536848,0.380305793,0.3448576,0.350619372,0.258406963,0.398686018,0.51672801,0.357832577,0.458509948,0.374197569,0.397452172,0.443276497,0.543449553,0.608564707,0.32013938,0.380066754,0.453226598,0.40449998,0.360748352,0.299891444,0.355247589,0.408594342,0.259234192,0.356722655,0.397268744,0.409637751,0.408933641,0.404919447,0.42286584,0.434238913,0.45834765,0.582003685,0.389250698,0.378338011,0.439073892,0.290586046,0.433116755,0.4165005,0.320460192,0.382581971,0.329146913,0.292894266,0.297645233,0.574187181,0.32868003,0.335946104,0.215526587,0.345775,0.525590024,0.435710571,0.30366855,0.257326624,0.267442695,0.379814408,0.313715092,0.452398977,0.433532498,0.463538698,0.241048417
396.9599915,0.159776345,0.19955112,0.158225298,0.193746328,0.197821558,0.075420983,0.108337246,0.251421973,0.130407646,0.109845422,0.223748848,0.104779601,0.392149523,0.327559695,0.228071243,0.29044129,0.194550842,0.190392137,0.294264629,0.282314643,0.248589292,0.324313089,0.300181344,0.251885578,0.546474677,0.416891556,0.495509844,0.285187107,0.327073645,0.275898468,0.305607926,0.398044568,0.406847786,0.508427065,0.429968607,0.29443882,0.326160353,0.472540747,0.404158246,0.438469242,0.272101473,0.252329897,0.447267007,0.492479663,0.600621324,0.436566304,0.381335717,0.466071676,0.425116599,0.350684315,0.389112949,0.274139941,0.353748232,0.520526737,0.265753925,0.39301613,0.238121748,0.266693324,0.356091768,0.249716699,0.369941533,0.325632602,0.435596466,0.303848207,0.328523785,0.423650086,0.336712182,0.253367156,0.645074815,0.451727837,0.394003719,0.47456041,0.318322464,0.408880099,0.41767542,0.354716494,0.297110095,0.324372008,0.372404828,0.352329864,0.497352793,0.292056455,0.282980158,0.246976807,0.372236683,0.474416598,0.365607603,0.292199179,0.247642799,0.287632152,0.306471511,0.36457841,0.442381843,0.401084526,0.334122702,0.242545559
398.0299988,0.087787576,0.206089325,0.146048538,0.11303889,0.074274175,0.135579802,0.102404095,0.171689875,0.114148386,-0.019583844,0.181343056,0.108593367,0.217972495,0.25417278,0.236251689,0.151827015,0.213696845,0.167600341,0.13564489,0.194524772,0.341490753,0.139256589,0.215590246,0.209474005,0.347533502,0.389568247,0.307829209,0.277522601,0.285274841,0.19700823,0.311601795,0.389581956,0.311979182,0.218483336,0.353616513,0.354472794,0.474934228,0.252212353,0.327971436,0.281541772,0.288968809,0.28888578,0.412221767,0.403376706,0.408547647,0.400011756,0.320612408,0.319830604,0.462144732,0.473916351,0.457239567,0.409179478,0.348857849,0.433364003,0.441476493,0.496156364,0.308411001,0.30789262,0.407088726,0.212853833,0.436923056,0.429157346,0.376696139,0.367860257,0.361139356,0.342156499,0.363794445,0.374256938,0.635307341,0.499945342,0.431972562,0.453305303,0.438946534,0.486503948,0.358806062,0.312883873,0.366885651,0.353381503,0.389436115,0.379247863,0.516028274,0.455196012,0.425543744,0.33222099,0.341350634,0.275730539,0.371632297,0.45764171,0.35423984,0.404235471,0.275643099,0.312027026,0.33020385,0.434652347,0.385547359,0.308025111
398.9299927,0.076976135,0.030956566,0.008846216,0.205179989,0.010192059,0.024558604,0.013628289,0.003917009,0.017435364,0.003940597,0.050943196,0.041830078,0.048335537,0.225689501,0.144475237,0.143701389,0.219537437,0.101142362,0.152474105,0.164097697,0.265802115,-0.005495161,0.21136415,0.137920901,0.380936539,0.49787203,0.289461827,0.383000409,0.328010654,0.318703895,0.327976352,0.479626631,0.37093181,0.302774524,0.359938955,0.222291177,0.270386284,0.587178504,0.482266461,0.51575998,0.364852047,0.302370166,0.345140969,0.416217482,0.462966865,0.306786126,0.288768267,0.405783987,0.428193859,0.660665921,0.477252982,0.496637634,0.347343436,0.375589422,0.442071429,0.419409654,0.300106845,0.279923222,0.442550979,0.353897831,0.394800178,0.503125153,0.42630165,0.494383565,0.409948013,0.59130489,0.402021191,0.390940241,0.698983601,0.420448801,0.37785419,0.383796266,0.449087013,0.478532005,0.476061184,0.389129955,0.448890466,0.340382326,0.408670265,0.537967969,0.461955924,0.32382061,0.357844163,0.340596456,0.472697068,0.462374765,0.36684655,0.442199517,0.332624335,0.321242321,0.43211918,0.444190104,0.624757875,0.297772128,0.490695018,0.347032864
